"LOCATION","TIME","Value"
"CAN","'62",7.413844894
"CAN","'63",5.332294413
"CAN","'64",6.620818246
"CAN","'65",6.277039545
"CAN","'66",6.668351904
"CAN","'67",3.031031322
"CAN","'68",4.93102382
"CAN","'69",4.995740035
"CAN","'70",2.877365923
"CAN","'71",3.933554677
"CAN","'72",5.473020797
"CAN","'73",6.85323735
"CAN","'74",3.26110851
"CAN","'75",1.394841421
"CAN","'76",5.86512198
"CAN","'77",3.397674943
"CAN","'78",3.742089225
"CAN","'79",3.645048281
"CAN","'80",2.139657675
"CAN","'81",3.479186205
"CAN","'82",-3.201963103
"CAN","'83",2.598474627
"CAN","'84",5.925385647
"CAN","'85",4.734084256
"CAN","'86",2.161816172
"CAN","'87",4.096465663
"CAN","'88",4.429428927
"CAN","'89",2.323922646
"CAN","'90",0.154346121
"CAN","'91",-2.1256933
"CAN","'92",0.882976477
"CAN","'93",2.655262562
"CAN","'94",4.49350041
"CAN","'95",2.677708439
"CAN","'96",1.611002019
"CAN","'97",4.279882292
"CAN","'98",3.881714881
"CAN","'99",5.16319108
"CAN","'00",5.182732096
"CAN","'01",1.770781296
"CAN","'02",3.010035991
"CAN","'03",1.80227364
"CAN","'04",3.085979456
"CAN","'05",3.201382139
"CAN","'06",2.623395979
"CAN","'07",2.062764243
"CAN","'08",1.000360971
"CAN","'09",-2.949571911
"CAN","'10",3.083465095
"CAN","'11",3.14121999
"CAN","'12",1.745518552
"CAN","'13",2.47501647
"CAN","'14",2.565313143
"CAN","'15",0.941632687
"CAN","'16",1.467761197
"CAN","'17",3.022322558
"CAN","'18",2.10425074
"CAN","'19",1.941003504
"MEX","'71",4.171701137
"MEX","'72",8.487424252
"MEX","'73",8.409320157
"MEX","'74",6.111083148
"MEX","'75",5.610445839
"MEX","'76",4.239480297
"MEX","'77",3.442381671
"MEX","'78",8.249413393
"MEX","'79",9.155209865
"MEX","'80",8.324012498
"MEX","'81",8.538918936
"MEX","'82",-0.521723196
"MEX","'83",-3.493870928
"MEX","'84",3.405944347
"MEX","'85",2.173014357
"MEX","'86",-3.112573305
"MEX","'87",1.736444809
"MEX","'88",1.266063866
"MEX","'89",4.130275695
"MEX","'90",5.164309561
"MEX","'91",4.193600451
"MEX","'92",3.569344089
"MEX","'93",1.949493268
"MEX","'94",4.927314724
"MEX","'95",-6.290830521
"MEX","'96",6.517810455
"MEX","'97",7.084951188
"MEX","'98",5.195276066
"MEX","'99",2.743914616
"MEX","'00",4.690363367
"MEX","'01",-0.180815695
"MEX","'02",-0.048736878
"MEX","'03",1.466582589
"MEX","'04",3.679005703
"MEX","'05",2.514345943
"MEX","'06",4.49721994
"MEX","'07",2.282187778
"MEX","'08",0.918233108
"MEX","'09",-5.071062957
"MEX","'10",5.130434218
"MEX","'11",3.668681261
"MEX","'12",3.422784741
"MEX","'13",1.590086073
"MEX","'14",2.846739789
"MEX","'15",3.280690666
"MEX","'16",2.662359513
"MEX","'17",2.406651366
"MEX","'18",2.243723206
"MEX","'19",2.332762654
"USA","'61",2.554622987
"USA","'62",6.115243985
"USA","'63",4.354820283
"USA","'64",5.767910783
"USA","'65",6.497448376
"USA","'66",6.595239058
"USA","'67",2.743881977
"USA","'68",4.909136215
"USA","'69",3.139314735
"USA","'70",0.202197005
"USA","'71",3.295475705
"USA","'72",5.263269036
"USA","'73",5.64312268
"USA","'74",-0.517156398
"USA","'75",-0.197677609
"USA","'76",5.386090929
"USA","'77",4.608599969
"USA","'78",5.561682169
"USA","'79",3.175685912
"USA","'80",-0.244594687
"USA","'81",2.594470429
"USA","'82",-1.910892608
"USA","'83",4.632459634
"USA","'84",7.259084069
"USA","'85",4.238740412
"USA","'86",3.511617155
"USA","'87",3.461743809
"USA","'88",4.203972672
"USA","'89",3.680527616
"USA","'90",1.919370254
"USA","'91",-0.074086763
"USA","'92",3.555395589
"USA","'93",2.745857813
"USA","'94",4.037641302
"USA","'95",2.718976335
"USA","'96",3.795882741
"USA","'97",4.487025998
"USA","'98",4.44991323
"USA","'99",4.685201676
"USA","'00",4.092170064
"USA","'01",0.975985834
"USA","'02",1.786127652
"USA","'03",2.806775902
"USA","'04",3.785740894
"USA","'05",3.345214249
"USA","'06",2.666625873
"USA","'07",1.778573691
"USA","'08",-0.291624815
"USA","'09",-2.775524564
"USA","'10",2.531918794
"USA","'11",1.601452954
"USA","'12",2.224027525
"USA","'13",1.677336469
"USA","'14",2.569195154
"USA","'15",2.861585375
"USA","'16",1.485279171
"USA","'17",2.246403704
"USA","'18",2.544089581
"USA","'19",2.146916155
