"LOCATION","TIME","Value"
"CAN",1970,4555.027261
"CAN",1971,4919.449356
"CAN",1972,5349.466577
"CAN",1973,5960.092233
"CAN",1974,6641.866721
"CAN",1975,7282.233251
"CAN",1976,7975.719977
"CAN",1977,8661.422757
"CAN",1978,9540.598788
"CAN",1979,10615.658562
"CAN",1980,11671.821947
"CAN",1981,13046.669583
"CAN",1982,13253.765222
"CAN",1983,13996.044564
"CAN",1984,15207.157551
"CAN",1985,16287.171682
"CAN",1986,16807.08588
"CAN",1987,17706.993181
"CAN",1988,18892.114879
"CAN",1989,19725.651673
"CAN",1990,20180.350137
"CAN",1991,20156.741996
"CAN",1992,20553.528794
"CAN",1993,21365.196777
"CAN",1994,22551.987107
"CAN",1995,23395.473915
"CAN",1996,23954.649762
"CAN",1997,25156.150049
"CAN",1998,26197.932922
"CAN",1999,27745.751307
"CAN",2000,29265.221478
"CAN",2001,30133.352284
"CAN",2002,30854.823032
"CAN",2003,32224.015719
"CAN",2004,33815.119074
"CAN",2005,36212.643556
"CAN",2006,38009.872181
"CAN",2007,39441.964993
"CAN",2008,40277.618235
"CAN",2009,38791.071038
"CAN",2010,40027.204359
"CAN",2011,41565.258933
"CAN",2012,42145.104092
"CAN",2013,44097.565566
"CAN",2014,45508.069534
"CAN",2015,44627.323469
"CAN",2016,44792.545622
"MEX",1970,1714.012936
"MEX",1971,1814.012653
"MEX",1972,1986.570912
"MEX",1973,2197.436541
"MEX",1974,2461.182383
"MEX",1975,2753.338984
"MEX",1976,2938.415477
"MEX",1977,3135.257048
"MEX",1978,3530.637636
"MEX",1979,4056.659498
"MEX",1980,4643.583379
"MEX",1981,5395.936198
"MEX",1982,5560.825848
"MEX",1983,5408.362341
"MEX",1984,5675.72234
"MEX",1985,5892.413885
"MEX",1986,5667.319258
"MEX",1987,5801.125019
"MEX",1988,5958.058658
"MEX",1989,6323.764829
"MEX",1990,6757.491044
"MEX",1991,7148.65044
"MEX",1992,7450.657033
"MEX",1993,8323.549634
"MEX",1994,8825.013066
"MEX",1995,8350.880638
"MEX",1996,8660.561935
"MEX",1997,9364.649571
"MEX",1998,9830.890589
"MEX",1999,10216.053137
"MEX",2000,10887.216847
"MEX",2001,10979.577517
"MEX",2002,10999.980338
"MEX",2003,11050.814557
"MEX",2004,11620.119144
"MEX",2005,12522.285892
"MEX",2006,13646.139403
"MEX",2007,14261.300609
"MEX",2008,14859.955529
"MEX",2009,14505.567536
"MEX",2010,15256.86187
"MEX",2011,16522.039507
"MEX",2012,17195.207181
"MEX",2013,17437.315321
"MEX",2014,18140.31555
"MEX",2015,17935.411845
"MEX",2016,18535.16689
"USA",1970,5245.93713
"USA",1971,5622.604626
"USA",1972,6109.110916
"USA",1973,6740.378128
"USA",1974,7240.951295
"USA",1975,7819.775814
"USA",1976,8609.38804
"USA",1977,9469.156426
"USA",1978,10585.193304
"USA",1979,11692.904676
"USA",1980,12569.952487
"USA",1981,13960.192689
"USA",1982,14404.529365
"USA",1983,15525.500036
"USA",1984,17093.043817
"USA",1985,18224.841304
"USA",1986,19071.371888
"USA",1987,20055.002615
"USA",1988,21433.965421
"USA",1989,22869.807225
"USA",1990,23901.051639
"USA",1991,24352.31728
"USA",1992,25452.468064
"USA",1993,26427.943538
"USA",1994,27741.94834
"USA",1995,28748.705868
"USA",1996,30032.556708
"USA",1997,31537.873959
"USA",1998,32913.403391
"USA",1999,34585.233131
"USA",2000,36419.447022
"USA",2001,37240.15777
"USA",2002,38122.324669
"USA",2003,39606.470171
"USA",2004,41856.5242
"USA",2005,44236.606947
"USA",2006,46368.987143
"USA",2007,47987.494034
"USA",2008,48330.061765
"USA",2009,46929.888686
"USA",2010,48303.175264
"USA",2011,49718.775832
"USA",2012,51388.157531
"USA",2013,52726.31559
"USA",2014,54651.362395
"USA",2015,56420.415166
"USA",2016,57591.197652
