LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1961,-0.003991936,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1962,5.52506038,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1963,6.093025895,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1964,6.243737542,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1965,4.988068508,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1966,2.922193131,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1967,7.195437858,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1968,5.299605934,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1969,6.253267659,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1970,6.944980383,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1971,3.869456983,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1972,2.289179379,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1973,4.363532764,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1974,1.601895631,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1975,2.419663392,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1976,3.888248788,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1977,1.486018577,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1978,2.014849613,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1979,4.617828181,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1980,2.726435118,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1981,4.177560388,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1982,-0.355185305,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1983,-0.154089134,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1984,6.524823689,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1985,5.097235058,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1986,1.943480866,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1987,5.275105444,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1988,4.513333557,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1989,4.254399058,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1990,1.371501667,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1991,-1.293284372,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1992,3.010130943,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1993,4.160229931,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1994,4.642027008,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1995,3.491259643,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1996,3.968126096,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1997,3.888847072,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1998,4.952287392,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,1999,4.063795983,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2000,3.519458677,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2001,2.503298402,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2002,3.981490931,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2003,2.996757705,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2004,3.944262166,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2005,3.201941151,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2006,2.7226356,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2007,4.528598807,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2008,2.450754612,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2009,1.78694968,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2010,2.378078284,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2011,2.56591582,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2012,3.69105659,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2013,2.139016723,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2014,2.757441306,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2015,2.423714048,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2016,2.499656532,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2017,2.477214811,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2018,2.842642946,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2019,2.656684036,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1971,5.113129298,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1972,6.20786096,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1973,4.887300542,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1974,3.943750374,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1975,-0.362303213,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1976,4.577002439,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1977,5.079980803,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1978,-0.210653479,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1979,5.356699838,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1980,1.73148542,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1981,-0.144294507,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1982,2.011254375,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1983,2.97308801,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1984,0.051275236,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1985,2.498678505,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1986,2.301392772,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1987,1.357168012,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1988,3.295880224,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,1989,3.887074779,
