"","Var1","Freq"
"1","",1398
"2","·",3
"3","à",1
"4","aa",24
"5","ablaze",1
"6","abnormal",1
"7","abuse",1
"8","accepted",2
"9","accident",5
"10","accidents",1
"11","accountant",1
"12","across",5
"13","acting",38
"14","action",2
"15","activities",5
"16","activity",2
"17","adam",1
"18","adolescent",9
"19","adult",24
"20","adults",2
"21","adventurer",1
"22","africans",2
"23","afternoon",2
"24","age",2
"25","agricultural",5
"26","agriculture",1
"27","aid",1
"28","aids",2
"29","air",1
"30","airing",1
"31","allegiance",1
"32","alms",6
"33","ambo",1
"34","america",1
"35","american",11
"36","amores",2
"37","amoretti",2
"38","amphibians",1
"39","amusing",3
"40","anchor",4
"41","andor",2
"42","angel",1
"43","angels",6
"44","angling",1
"45","animal",41
"46","animaldrawn",5
"47","animals",156
"48","anna",1
"49","annexes",2
"50","antelope",2
"51","apes",1
"52","apiculture",4
"53","appearance",1
"54","applied",1
"55","arcadian",2
"56","archery",4
"57","ark",1
"58","arm",2
"59","arms",2
"60","army",3
"61","around",4
"62","arrival",2
"63","arrow",4
"64","art",2
"65","artist",1
"66","arts",1
"67","ascension",1
"68","asiatic",2
"69","ass",48
"70","assembly",2
"71","attack",2
"72","attacking",5
"73","attempts",2
"74","aviation",1
"75","away",2
"76","babel",1
"77","baby",11
"78","back",1
"79","backward",3
"80","bag",1
"81","baker",1
"82","ball",6
"83","balloon",1
"84","ballthrowing",1
"85","barber",1
"86","barbershop",1
"87","barn",1
"88","barrel",3
"89","basket",3
"90","battle",4
"91","bb",29
"92","beach",4
"93","beam",1
"94","bear",9
"95","beard",1
"96","bears",1
"97","beasts",34
"98","beating",1
"99","beauty",2
"100","bed",21
"101","bedroom",6
"102","bee",1
"103","beehive",7
"104","beekeeping",4
"105","beetle",4
"106","beggar",9
"107","beggars",1
"108","behaviour",1
"109","beings",39
"110","bending",1
"111","beside",6
"112","bestourné",2
"113","bible",10
"114","biology",1
"115","bird",17
"116","birds",94
"117","bishop",1
"118","blackbird",1
"119","blacksmith",2
"120","blind",2
"121","blindness",2
"122","blood",1
"123","blue",2
"124","bluebeard",1
"125","bluejay",1
"126","boar",2
"127","boat",2
"128","boathouse",1
"129","boats",1
"130","body",2
"131","bony",1
"132","book",10
"133","bookillumination",1
"134","bookkeeping",1
"135","books",3
"136","bookseller",1
"137","bookshop",1
"138","bow",4
"139","bowed",1
"140","bowling",1
"141","boy",2
"142","branch",1
"143","branches",1
"144","brazier",3
"145","breakfast",1
"146","breaking",1
"147","brewer",1
"148","bride",1
"149","brides",1
"150","bridge",8
"151","brothers",1
"152","brush",2
"153","brushing",1
"154","bubbleblowing",1
"155","bucket",3
"156","buddhism",1
"157","buffalo",2
"158","building",9
"159","bull",7
"160","bullfight",1
"161","bunch",1
"162","burgomaster",1
"163","burrow",3
"164","butcher",2
"165","butterflies",1
"166","butterfly",8
"167","byproducts",1
"168","cab",4
"169","cabin",2
"170","cage",5
"171","cake",1
"172","called",2
"173","camel",4
"174","camp",1
"175","campagne",1
"176","campfire",1
"177","canal",5
"178","canals",1
"179","cannon",3
"180","canoe",11
"181","cape",1
"182","car",1
"183","care",4
"184","caressing",15
"185","carpet",1
"186","carriage",4
"187","carrying",12
"188","cart",1
"189","carving",1
"190","cask",3
"191","casting",1
"192","castle",4
"193","castrated",2
"194","cat",18
"195","catch",1
"196","cattle",3
"197","cc",7
"198","celestial",2
"199","cell",2
"200","cemetery",1
"201","ceramics",1
"202","ceremony",1
"203","chair",1
"204","challenging",1
"205","chancel",1
"206","chapel",5
"207","chariot",1
"208","charitable",2
"209","charity",6
"210","charwoman",1
"211","chase",4
"212","chasing",1
"213","cheese",1
"214","chicken",15
"215","child",58
"216","childhood",1
"217","children",83
"218","childrens",21
"219","chivalry",1
"220","chores",1
"221","christ",9
"222","christchild",1
"223","christian",2
"224","christs",3
"225","chronicles",1
"226","church",20
"227","churches",2
"228","churchyard",5
"229","circumstances",1
"230","circus",1
"231","citizen",1
"232","city",4
"233","civil",1
"234","class",6
"235","cleaning",3
"236","cliff",6
"237","climbing",2
"238","clock",2
"239","cloth",1
"240","clothes",2
"241","cloud",1
"242","clown",2
"243","coach",4
"244","coast",1
"245","coastal",6
"246","coat",3
"247","cock",11
"248","cockatoo",1
"249","coffeehouse",1
"250","college",1
"251","collision",1
"252","colossi",5
"253","coloured",1
"254","colours",1
"255","column",1
"256","comb",2
"257","commanding",1
"258","communal",1
"259","company",2
"260","conceiving",1
"261","concept",1
"262","conquered",2
"263","construction",2
"264","container",6
"265","contemplating",6
"266","contemplation",2
"267","contest",1
"268","conversation",6
"269","cook",1
"270","cornet",3
"271","coronation",1
"272","correction",5
"273","cortege",1
"274","costume",1
"275","cottage",15
"276","couch",1
"277","counsellors",1
"278","counter",1
"279","countryhouse",12
"280","couple",6
"281","court",4
"282","covered",2
"283","cow",8
"284","cowherd",8
"285","crab",1
"286","cradle",6
"287","crafts",3
"288","crag",6
"289","crane",4
"290","crash",1
"291","creation",1
"292","crew",1
"293","crib",6
"294","crooning",1
"295","crop",1
"296","cross",1
"297","crossing",1
"298","crown",3
"299","crozier",1
"300","crucifixion",1
"301","crustaceans",1
"302","crutches",1
"303","cuckoo",2
"304","cultivated",1
"305","cupids",2
"306","curfew",1
"307","cut",1
"308","dagger",1
"309","daily",1
"310","dale",1
"311","damage",1
"312","dancing",2
"313","dandling",1
"314","darkness",1
"315","daughters",17
"316","david",2
"317","dead",6
"318","death",9
"319","deathbed",1
"320","deciduous",1
"321","deer",10
"322","degree",3
"323","délices",1
"324","demons",1
"325","den",3
"326","departure",3
"327","derived",1
"328","destruction",1
"329","devil",1
"330","diadem",1
"331","dialogue",3
"332","digger",1
"333","diligence",1
"334","diningroom",1
"335","dinner",3
"336","disciples",1
"337","displaying",2
"338","diversion",1
"339","divine",1
"340","doctor",1
"341","dog",31
"342","dogs",3
"343","dogsleigh",1
"344","domestic",4
"345","domesticated",1
"346","domestication",1
"347","donkey",5
"348","door",1
"349","doors",32
"350","dove",7
"351","downpour",1
"352","dragonfly",3
"353","drawn",14
"354","dress",1
"355","dressed",1
"356","dressing",4
"357","drill",1
"358","drinking",4
"359","drinkingvessel",1
"360","drowning",2
"361","drubbing",3
"362","drum",4
"363","duck",5
"364","dwarfs",1
"365","dwelling",1
"366","eagle",6
"367","eating",9
"368","eclipse",1
"369","eg",23
"370","elegant",1
"371","elementary",3
"372","elephant",17
"373","elevation",1
"374","else",2
"375","emblematical",1
"376","embracing",1
"377","embroidering",1
"378","empress",6
"379","empty",1
"380","en",3
"381","end",2
"382","endangered",3
"383","enjoying",11
"384","enter",1
"385","entombment",1
"386","epidemic",1
"387","equipment",1
"388","errands",3
"389","eruption",2
"390","escape",4
"391","eskimo",1
"392","eskimos",1
"393","especially",1
"394","esthers",1
"395","etc",51
"396","europeans",3
"397","eve",1
"398","evening",3
"399","events",3
"400","execution",1
"401","exotic",7
"402","exterior",17
"403","eyes",1
"404","fabric",1
"405","fabulous",6
"406","face",2
"407","facing",3
"408","factories",1
"409","falling",8
"410","family",91
"411","fan",1
"412","farewell",1
"413","farm",5
"414","farmers",1
"415","fat",1
"416","father",28
"417","fatherlove",5
"418","feast",2
"419","feeding",3
"420","fellow",3
"421","female",7
"422","fence",1
"423","ferret",2
"424","ff",6
"425","fiddle",2
"426","field",1
"427","fighting",5
"428","figure",20
"429","filled",1
"430","finch",2
"431","finding",3
"432","fine",2
"433","fire",6
"434","firearms",4
"435","fireengine",2
"436","firepan",3
"437","fireplace",2
"438","firmament",1
"439","fisherman",6
"440","fishery",1
"441","fishes",6
"442","fishhawk",2
"443","fishhook",1
"444","fishing",5
"445","flag",1
"446","flags",1
"447","flamingo",1
"448","flash",1
"449","flight",2
"450","flock",2
"451","flowers",31
"452","fly",3
"453","flying",5
"454","foliage",1
"455","fondling",1
"456","food",11
"457","fool",1
"458","footman",1
"459","force",1
"460","forest",3
"461","forester",1
"462","forgetmenot",1
"463","fork",1
"464","form",3
"465","forms",1
"466","four",2
"467","fourwheeled",16
"468","fowl",11
"469","fox",4
"470","freight",1
"471","friars",2
"472","friends",2
"473","friendship",15
"474","frog",2
"475","fruit",8
"476","fruits",4
"477","full",2
"478","funeral",1
"479","funeralis",1
"480","furniture",2
"481","galloping",5
"482","game",6
"483","games",43
"484","garbage",1
"485","garden",7
"486","gardening",7
"487","garland",2
"488","gathering",2
"489","geese",2
"490","general",22
"491","genesis",1
"492","getting",19
"493","geyser",1
"494","ghost",1
"495","giants",5
"496","gifts",2
"497","girl",12
"498","giving",8
"499","glasshouse",1
"500","globe",6
"501","gloves",1
"502","goat",4
