"","Var1","Freq"
"1","   playing",1
"2","  beside  water   beach",3
"3"," animals enter  ark",1
"4"," bible   book",3
"5"," birds",1
"6"," birds dove",3
"7"," birds hoopoe",1
"8"," birds hummingbird",3
"9"," birds kingfisher",1
"10"," birds woodpecker",1
"11"," childrens games",1
"12"," citizen   rights",1
"13"," crucifixion  christ christs death   cross golgotha matthew  mark  luke  john ",1
"14"," fire ablaze",1
"15"," good child versus  naughty child",5
"16"," kill hunting",2
"17"," leisure time activities variant",1
"18"," naughty child",1
"19"," poor",4
"20"," refused  proposal rejected",1
"21"," soldier  soldiers life",7
"22"," surprise attack stratagem naval force",1
"23"," tower  babel",1
"24"," wedding feast esthers feast",1
"25"," welcomed travelling",1
"26","accident  animaldrawn vehicle",1
"27","accident  horse  kindred animal",2
"28","activities  angels  heaven",2
"29","adam  eve holding  possibly eating  fruit",1
"30","adolescent young woman maiden",5
"31","adult christ together  others nonnarrative representations",1
"32","adult man",14
"33","adult man two persons",1
"34","adult woman",7
"35","adventurer",1
"36","africans",1
"37","afternoon tea",1
"38","afternoon tea cc   doors",1
"39","agricultural implements spade",1
"40","agricultural products  byproducts hay labourers crafts industries agriculture",1
"41","angels",1
"42","angels singing making music",1
"43","angling fishhook",1
"44","animal killing man",2
"45","animal mounts packanimals",1
"46","animals",6
"47","animals acting  human beings",38
"48","animals nest den burrow",2
"49","animals threatening man",4
"50","antelope hoofed animals antelope",1
"51","arm  arm friends",1
"52","army en route",3
"53","arrival  company station military service",1
"54","arrival  return travelling",1
"55","ass donkey",5
"56","baker women labourers",1
"57","ball games",1
"58","ball games   ball  hit  racket  hand",1
"59","ball games childrens games",3
"60","balloon aviation",1
"61","ballthrowing",1
"62","barber barbershop",1
"63","barn",1
"64","battle",2
"65","battle fighting  general",1
"66","beach",1
"67","beam log  wood",1
"68","bear beasts  prey predatory animals bear",4
"69","beard",1
"70","bears circus performance",1
"71","beasts  prey predatory animals bear",1
"72","beasts  prey predatory animals fox",1
"73","beasts  prey predatory animals leopard",1
"74","beasts  prey predatory animals lion",2
"75","beasts  prey predatory animals lynx",1
"76","beasts  prey predatory animals weasel",1
"77","bed",2
"78","bedroom",6
"79","beehive",7
"80","beekeeping apiculture",4
"81","beggar",9
"82","beggars procession",1
"83","bending figure",1
"84","bible",4
"85","bird   cage",4
"86","bird hunting",6
"87","bird of paradise ornamental birds bird  paradise",3
"88","birds",37
"89","birds nest den burrow",1
"90","blind blindness",2
