"","Var1","Freq"
"1","",7
"2","11a22",1
"3","11c2",1
"4","11d3",1
"5","11d3223",1
"6","11d33",1
"7","11g",1
"8","11g2",2
"9","11g21",1
"10","11p31131",1
"11","11p31521",2
"12","11p31522",3
"13","11p5",2
"14","11q21",4
"15","11q2112",16
"16","11q5",2
"17","11q51",3
"18","11q511",3
"19","11q53",1
"20","11q7",2
"21","11q712",7
"22","11q71454",1
"23","11q72",2
"24","11q7211",2
"25","11q73121",1
"26","11q73262",1
"27","11q733",2
"28","11q751",1
"29","11qq712",1
"30","11qq7121",1
"31","11qq7121chapel",1
"32","11s3",1
"33","12h7",1
"34","13a12",1
"35","13b1",1
"36","13b5",1
"37","23f41",2
"38","23u24",2
"39","23u25",1
"40","24a",2
"41","24a1",6
"42","24a2",1
"43","24a6",1
"44","24b2",2
"45","24f1",1
"46","25a13",5
"47","25c11",2
"48","25c12",1
"49","25c13",1
"50","25f",7
"51","25f22",1
"52","25f23",28
"53","25f23fox",1
"54","25f23leopard",1
"55","25f23lion",2
"56","25f23weasel",1
"57","25f24",15
"58","25f24rhinoceros",1
"59","25f25",5
"60","25f25elephant",7
"61","25f26",5
"62","25f26mouse",5
"63","25f26rabbit",2
"64","25f26rat",2
"65","25f26squirrel",4
"66","25f27",8
"67","25f3",37
"68","25f32",22
"69","25f32finch",1
"70","25f32lark",1
"71","25f32raven",2
"72","25f32robin",2
"73","25f32sparrow",1
"74","25f32thrush",1
"75","25f33",6
"76","25f33kite",1
"77","25f34",9
"78","25f3421",1
"79","25f35",11
"80","25f35cockatoo",1
"81","25f35flamingo",1
"82","25f35toucan",1
"83","25f36",9
"84","25f36duck",1
"85","25f36smew",1
"86","25f37",7
"87","25f37ibis",1
"88","25f38",6
"89","25f38guineahen",1
"90","25f38partridge",1
"91","25f38pheasant",1
"92","25f38quail",1
"93","25f38turkey",1
"94","25f39",14
"95","25f39dove",3
"96","25f39hoopoe",1
"97","25f39hummingbird",3
"98","25f42",2
"99","25f421",2
"100","25f51",1
"101","25f6",5
"102","25f62",1
"103","25f711",9
"104","25f711beetle",4
"105","25f711butterfly",2
"106","25f711dragonfly",1
"107","25f711fly",3
"108","25f711grasshopper",1
"109","25f711moth",1
"110","25f711wasp",1
"111","25f713",1
"112","25f715",1
"113","25f716crab",1
"114","25f72snail",1
"115","25ff23",1
"116","25ff241",1
"117","25ff32robin",2
"118","25ff33kite",2
"119","25ff711bee",1
"120","25g1",6
"121","25g2122",1
"122","25g21orange",2
"123","25g3",20
"124","25g3oak",4
"125","25g4",5
"126","25g41",13
"127","25g411",1
"128","25g4111",2
"129","25g41rose",2
"130","25g4wheat",2
"131","25g5",4
"132","25h",1
"133","25h12",1
"134","25h131",1
"135","25h1314",6
"136","25h133",1
"137","25h151",1
"138","25h17",1
"139","25h183",1
"140","25h2",1
"141","25h23",1
"142","25hh11",1
"143","25hh15",2
"144","25hh18",1
"145","25hh2",1
"146","25hh214",2
"147","25hh216",1
"148","25i141",2
"149","25i2",4
"150","25i241",3
"151","25i244",2
"152","25i245",1
"153","25i2451",5
"154","25i28",1
"155","25i3",2
"156","25i4",1
"157","25i41",1
"158","25ii18",1
"159","25ii3",1
"160","25kk",7
"161","26b",1
"162","26b2",4
"163","26b4",1
"164","26c31",1
"165","26c32",2
"166","26e2",1
"167","29",1
"168","29a",38
"169","29a1",2
"170","31a2319",1
"171","31a233",1
"172","31a235",6
"173","31a2352",1
"174","31a2391",1
"175","31a2421",1
"176","31a2422",1
"177","31a25341",1
"178","31a2711",3
"179","31a27112",3
"180","31a27113",12
"181","31a2723",1
"182","31a2731",5
"183","31a2779",1
"184","31a314",1
"185","31a4111",2
"186","31a4152",1
"187","31a4153",1
"188","31a42",1
"189","31a421",5
"190","31a422",1
"191","31a4632",1
"192","31a5111",1
"193","31a534",1
"194","31a535",1
"195","31a542",1
"196","31a553",1
"197","31a554",1
"198","31aa231",1
"199","31aa2421",1
"200","31aa2731",1
"201","31aa4621",1
"202","31aa511",1
"203","31aa5111",1
"204","31aa5311",2
"205","31aa551",1
"206","31aa553",1
"207","31aa554",1
"208","31b11",3
"209","31b12",1
"210","31bb1",2
"211","31bb13",2
"212","31bb19",24
"213","31d112",1
"214","31d1122",1
"215","31d11221",3
"216","31d11222",3
"217","31d12",4
"218","31d13",5
"219","31d14",14
"220","31d1472",1
"221","31d15",7
"222","31d16",4
"223","31d17",4
"224","31d5",2
