"","filename","type"
"1","PN970_A1_C45_1800z.xml","RomancesFairyFolk"
"2","PN970_A1_D44_1840.xml","TravelAdventure"
"3","PN970_A1_D865_1800z.xml","MetricalTales"
"4","PN970_A1_H57_1800z.xml","MetricalTales"
"5","PN970_A1_N67_1800z.xml","MetricalTales"
"6","PN970_A3_N4_1804.xml","RomancesFairyFolk"
"7","PN970_A3_W5_1805.xml","Religious"
"8","PN970_A4_B7_1829.xml","Religious"
"9","PN970_A4_B8_1848.xml","Religious"
"10","PN970_A4_C66_1825.xml","Religious"
"11","PN970_A4_R4_1844.xml","Religious"
"12","PN970_A4_V5_1848.xml","Religious"
"13","PN970_A54_T48_1827.xml","Religious"
"14","PN970_A54_Y68_1827.xml","Religious"
"15","PN970_B3_C4_1840.xml","Religious"
"16","PN970_B3_D3_1826.xml","MetricalTales"
"17","PN970_B3_F5_1800z.xml","Instruction"
"18","PN970_B3_H5_1840z.xml","GeographHistory"
"19","PN970_B3_I5_1842.xml","SongBooks"
"20","PN970_B3_L54_1825.xml","Religious"
"21","PN970_B3_L58_1800z.xml","Religious"
"22","PN970_B3_N4_1849.xml","RomancesFairyFolk"
"23","PN970_B3_P5_1849.xml","MetricalTales"
"24","PN970_B3_S8_1800z.xml","MetricalTales"
"25","PN970_B3_V5_1840.xml","MetricalTales"
"26","PN970_B35_T9_1860z.xml","Instruction"
"27","PN970_B56_P5_1827.xml","Religious"
"28","PN970_B64_S86_1820.xml","RomancesFairyFolk"
"29","PN970_B65_D85_1835.xml","SongBooks"
"30","PN970_B65_E55_1835.xml","SongBooks"
"31","PN970_B65_E94_1828.xml","MetricalTales"
"32","PN970_B65_H56_1835.xml","RomancesFairyFolk"
"33","PN970_B65_L63_1835.xml","MetricalTales"
"34","PN970_B65_M65_1820.xml","SongBooks"
"35","PN970_B65_T63_1825.xml","SongBooks"
"36","PN970_B66_C46_1780.xml","MetricalTales"
"37","PN970_B66_N87_1780.xml","NurseryRhymes"
"38","PN970_B69_J6_1827.xml","Religious"
"39","PN970_B73_D5_1810.xml","RomancesFairyFolk"
"40","PN970_B73_G6_1807.xml","JestBooks"
"41","PN970_B73_H5_1810.xml","ProseFiction"
"42","PN970_B76_L58_1862.xml","MetricalTales"
"43","PN970_B769_G7_1831.xml","Religious"
"44","PN970_B769_M5_1831.xml","Religious"
"45","PN970_B769_N3_1831.xml","GeographHistory"
"46","PN970_B769_V5_1831.xml","Religious"
"47","PN970_B97_O53_1820_pt_1.xml","NurseryRhymes"
"48","PN970_C25_D53_1842.xml","HistPolitBiograph"
"49","PN970_C3_C4_1813.xml","Religious"
"50","PN970_C3_F3_1821.xml","RomancesFairyFolk"
"51","PN970_C52_no_16c.xml","MetricalTales"
"52","PN970_C52_no_24c.xml","Religious"
"53","PN970_C52_no_5a.xml","Religious"
"54","PN970_C52_no_67b.xml","SongBooks"
"55","PN970_C6_H3_1820.xml","Religious"
"56","PN970_D3_O7_1843.xml","Religious"
"57","PN970_D37_H5_1845.xml","RomancesFairyFolk"
"58","PN970_D37_L5_1845.xml","NurseryRhymes"
"59","PN970_D38_H5_1825.xml","GeographHistory"
"60","PN970_D38_H57_1825.xml","GeographHistory"
"61","PN970_D38_L5_1822.xml","MetricalTales"
"62","PN970_D39_C86_1814.xml","MetricalTales"
"63","PN970_D4_B8_1847.xml","Religious"
"64","PN970_D4_C3_1857.xml","Religious"
"65","PN970_D4_C4_1857.xml","ProseFiction"
"66","PN970_D4_C45_1857.xml","Instruction"
"67","PN970_D4_D4_1857_no_1.xml","Religious"
"68","PN970_D4_D4_1857_no_1_DUP (2).xml","Religious"
"69","PN970_D4_D4_1857_no_1_DUP.xml","Religious"
"70","PN970_D4_D4_1857_no_1_DUP2.xml","Religious"
"71","PN970_D4_D4_1857_no_10.xml","Religious"
"72","PN970_D4_D4_1857_no_10_DUP.xml","Religious"
"73","PN970_D4_D4_1857_no_10_DUP2.xml","Religious"
"74","PN970_D4_D4_1857_no_11.xml","Religious"
"75","PN970_D4_D4_1857_no_11_DUP.xml","Religious"
"76","PN970_D4_D4_1857_no_12.xml","Religious"
"77","PN970_D4_D4_1857_no_12_DUP.xml","Religious"
"78","PN970_D4_D4_1857_no_13 (2).xml","Religious"
"79","PN970_D4_D4_1857_no_13.xml","Religious"
"80","PN970_D4_D4_1857_no_14 (2).xml","Religious"
"81","PN970_D4_D4_1857_no_14.xml","Religious"
"82","PN970_D4_D4_1857_no_15.xml","Religious"
"83","PN970_D4_D4_1857_no_15_DUP.xml","Religious"
"84","PN970_D4_D4_1857_no_16 (2).xml","Religious"
"85","PN970_D4_D4_1857_no_16.xml","Religious"
"86","PN970_D4_D4_1857_no_17.xml","Religious"
"87","PN970_D4_D4_1857_no_17_DUP.xml","Religious"
"88","PN970_D4_D4_1857_no_18 (2).xml","Religious"
"89","PN970_D4_D4_1857_no_18.xml","Religious"
"90","PN970_D4_D4_1857_no_19.xml","Religious"
"91","PN970_D4_D4_1857_no_19_DUP.xml","Religious"
"92","PN970_D4_D4_1857_no_2.xml","Instruction"
"93","PN970_D4_D4_1857_no_2_DUP.xml","Religious"
"94","PN970_D4_D4_1857_no_2_DUP2.xml","Religious"
"95","PN970_D4_D4_1857_no_20 (2).xml","Religious"
"96","PN970_D4_D4_1857_no_20.xml","Religious"
"97","PN970_D4_D4_1857_no_21.xml","Religious"
"98","PN970_D4_D4_1857_no_21_DUP.xml","Religious"
"99","PN970_D4_D4_1857_no_22.xml","Religious"
"100","PN970_D4_D4_1857_no_22_DUP.xml","Religious"
"101","PN970_D4_D4_1857_no_23.xml","Instruction"
"102","PN970_D4_D4_1857_no_23_DUP.xml","Instruction"
"103","PN970_D4_D4_1857_no_23_DUP2.xml","Instruction"
"104","PN970_D4_D4_1857_no_24.xml","Religious"
"105","PN970_D4_D4_1857_no_24_DUP.xml","Religious"
"106","PN970_D4_D4_1857_no_25.xml","Religious"
"107","PN970_D4_D4_1857_no_25_DUP.xml","Religious"
"108","PN970_D4_D4_1857_no_26.xml","Religious"
"109","PN970_D4_D4_1857_no_26_DUP.xml","Religious"
"110","PN970_D4_D4_1857_no_26_DUP2.xml","Religious"
"111","PN970_D4_D4_1857_no_27.xml","Religious"
"112","PN970_D4_D4_1857_no_28 (2).xml","Religious"
"113","PN970_D4_D4_1857_no_28.xml","Religious"
"114","PN970_D4_D4_1857_no_29.xml","Religious"
"115","PN970_D4_D4_1857_no_29_DUP.xml","Religious"
"116","PN970_D4_D4_1857_no_3.xml","Religious"
"117","PN970_D4_D4_1857_no_3_DUP.xml","Religious"
"118","PN970_D4_D4_1857_no_3_DUP2.xml","Religious"
"119","PN970_D4_D4_1857_no_30.xml","Religious"
"120","PN970_D4_D4_1857_no_30_DUP.xml","Religious"
"121","PN970_D4_D4_1857_no_31.xml","Religious"
"122","PN970_D4_D4_1857_no_31_DUP.xml","Religious"
"123","PN970_D4_D4_1857_no_32.xml","Religious"
"124","PN970_D4_D4_1857_no_32_DUP.xml","Religious"
"125","PN970_D4_D4_1857_no_33 (2).xml","ProseFiction"
"126","PN970_D4_D4_1857_no_33.xml","ProseFiction"
"127","PN970_D4_D4_1857_no_34.xml","Religious"
"128","PN970_D4_D4_1857_no_34_DUP.xml","Religious"
"129","PN970_D4_D4_1857_no_35.xml","Religious"
"130","PN970_D4_D4_1857_no_35_DUP.xml","Religious"
"131","PN970_D4_D4_1857_no_36.xml","Religious"
"132","PN970_D4_D4_1857_no_36_DUP.xml","Religious"
"133","PN970_D4_D4_1857_no_37.xml","Religious"
"134","PN970_D4_D4_1857_no_37_DUP.xml","Religious"
"135","PN970_D4_D4_1857_no_38.xml","Religious"
"136","PN970_D4_D4_1857_no_38_DUP.xml","Religious"
"137","PN970_D4_D4_1857_no_39.xml","Religious"
"138","PN970_D4_D4_1857_no_39_DUP.xml","Religious"
"139","PN970_D4_D4_1857_no_4.xml","Religious"
"140","PN970_D4_D4_1857_no_4_DUP.xml","Religious"
"141","PN970_D4_D4_1857_no_4_DUP2.xml","Religious"
"142","PN970_D4_D4_1857_no_40.xml","Religious"
"143","PN970_D4_D4_1857_no_40_DUP.xml","Religious"
"144","PN970_D4_D4_1857_no_41 (2).xml","Religious"
"145","PN970_D4_D4_1857_no_41.xml","Religious"
"146","PN970_D4_D4_1857_no_42.xml","Religious"
"147","PN970_D4_D4_1857_no_42_DUP.xml","Religious"
"148","PN970_D4_D4_1857_no_43.xml","Religious"
"149","PN970_D4_D4_1857_no_43_DUP.xml","Religious"
"150","PN970_D4_D4_1857_no_44.xml","Religious"
"151","PN970_D4_D4_1857_no_44_DUP.xml","Religious"
"152","PN970_D4_D4_1857_no_45.xml","Religious"
"153","PN970_D4_D4_1857_no_45_DUP.xml","Religious"
"154","PN970_D4_D4_1857_no_46.xml","Religious"
"155","PN970_D4_D4_1857_no_46_DUP.xml","Religious"
"156","PN970_D4_D4_1857_no_47.xml","Religious"
"157","PN970_D4_D4_1857_no_47_DUP.xml","Religious"
